clamp assembly,clamp fixture,clamp element,locate clamp,work-piece clamp,work piece clamp,clamp piece,workpiece clamp device,clamp mechanism comprise,clamp work piece,clamp device comprise
independent claim include method,independent claim include
drawing show schematic representation,drawing show schematic view,drawing show schematic block diagram,drawing show schematic,drawing show schematic diagram
number control machine tool,computer numerical control machine,computerized numerical control,computer numerical control,numerically control machine tool,CNC machine tool,device numerical control machine tool,computer numerical control machine tool
rotation speed,rotational speed
feed mechanism,feed system
improve work efficiency,machine tool,reduce production cost,improve production efficiency
figure show block diagram,drawing show block diagram
control unit control,controller control,numerical control unit,control system control,numerical control system
low manufacturing cost,production cost,manufacturing cost,reduce production cost,reduce manufacturing cost,reduce cost
drawing show front view,drawing show sectional view,drawing show exploded perspective view,drawing show perspective view,drawing show cross-sectional view,drawing show top view,drawing show partial sectional view,drawing show side perspective view,drawing show top perspective view,drawing show cross sectional view,drawing show perspective view automatic,drawing show side sectional view,drawing show side view
position workpiece,workpiece holder,hold workpiece,workpiece carrier,cut workpiece
method enable,method enable improve,method enable realize
effectively reduce,effectively avoid,effectively prevent
cut knife,cut blade,cut insert
laser head,laser cut head,laser cut machine,laser cut device
laser cutter,laser cutting
drive element,drive assembly,drive component
display unit,display device
greatly increase,greatly improve
vertical machining center,horizontal machining center
support portion,support component,support element,support member
machining operation,machining program
electrode wire,wire electrode
output signal,signal output
metal plate,metal sheet
efficiency high,high work efficiency,high processing efficiency,high efficiency,high processing precision,high production efficiency,high working efficiency,precision high
spot weld,weld device,weld joint,weld torch,laser weld,weld head
improve work efficiency,increase work efficiency,improve efficiency,increase production efficiency,ensure processing precision,improve process efficiency,improve accuracy,improve precision,improve production efficiency,improve processing precision,improve processing efficiency
feed speed,feed rate
motor spindle,spindle motor,spindle unit,drive spindle,spindle axis,spindle bearing
processing workpiece,machining workpiece
connect servo motor,servo motor drive,servo driver,servo motor connect
workpiece spindle,work spindle
gear wheel,gear tooth
fine machining,finish machining
gear ring,ring gear
boring rod,boring bar
convey device,convey mechanism
spindle machine tool,main shaft machine tool
comprise main body,comprise main
automatic tool changer,automatic tool change
simple structure,device simple structure
main shaft motor,main shaft head
curved surface,curve surface
welding platform,welding station
movable seat,movable platform,movable frame,movable rod,movable block
chamber provide,cavity provide
magnetic force,magnetic field
linear movement,linear motion
cleaning mechanism,cleaning device
cutting knife,cutting blade
key slot,key groove
pneumatic clamp,pneumatic cylinder
machine tool working table,machine tool worktable
assemble device,assemble machine
machine tool chuck,machine tool pedestal
protective device,protection device
light source,light beam
return spring,reset spring
simple operation,operation simple,operation convenient
valve core,valve body
grind machine tool,mill machine tool
lock pin,lock bolt
hand machine tool,portable machine tool
vertical lathe,automatic lathe
end connect rod,connect connect rod,connect rod connect
locating ring,locating sleeve
vertical guide rail,vertical slide rail,slide rail slide block,fix plate fix,connect slide rail,slide rail set,slide table provide,connect slide block,mount seat provide,support plate provide,guide rail slide block,cylinder fixedly connect,slide block fixedly connect,slide connection,work table set,mount plate fix,support frame provide,slide block fix,frame fixedly connect,horizontal slide rail,slide guide rail,slide plate provide,fix plate provide,bottom plate fix,working table provide,transverse slide rail,slide block provide,slide rail slide rail,fix seat provide,move guide rail,work table provide,slide block set,bottom plate provide,support plate fix,slide block connect,transverse guide rail,set slide rail,mount plate provide,slide seat provide,fix bottom plate,base fixedly connect,move slide rail
rotate table,rotate platform
drive device drive,drive motor drive
loading mechanism,loading device
guide pole,guide bar,guide column,guide post
ball lead screw,screw rod nut,lead screw nut,ball screw nut
door plate,door frame
processing fixture,processing method
figure show sectional view,figure show perspective view
high degree automation,high automation degree
horizontally arrange,vertically arrange
machine tool main body provide,machine body provide,bed body provide,machine frame provide,box body provide
adjust nut,adjust bolt
circular groove,circular hole
processing technology field,technology field,mechanical processing technology field
center line,central line
comprise machine body,comprise machine frame
protection plate,protection cover
reduce labour intensity,reduce labor intensity
filter plate,filter screen
taper hole,taper sleeve
workbench provide,comprise workbench,rotary workbench
driving wheel,driving gear
wire cut machine tool,metal cut machine tool
transverse rod,cross rod
belong technical field,relate technical field,technical field,utility model relate,utility model relate technical field,utility model belong
provide slide rail,provide slide groove,provide slide block
operating platform,operation table,operation platform
fastening bolt,fasten bolt
pressure head,press head
full automatic,fully automatic
transmission belt,transmission chain
top part provide,upper part provide
rotary disc,rotary disk
rotate shaft provide,end rotate shaft,connect rotate shaft,rotate shaft connect
low end face,low end surface
T-shape groove,u-shape groove,v-shape block,v-shape groove
push device,push mechanism
side equip,frame equip,base equip
automatic welding device,automatic welding machine
locating piece,locating component
cutter handle,knife handle
knife base,knife seat,knife frame
limiting plate,limiting block
screw rod connect,connect screw rod
utility model adopt,utility model claim automatic,utility model claim,utility model claim numerical control,utility model claim machine tool,utility model claim kind
utility type relate,utility model type,utility type claim,utility type
beneficial effect utility model,beneficial effect utility model follow
